typeName,slot
Medium Engine Thermal Shielding II,R
Draclira's Modified Energized Kinetic Membrane,L
Raysere's Modified Energized Explosive Membrane,L
Ammatar Navy Armor Kinetic Hardener,L
Small Cargohold Optimization II,R
Large Salvage Tackle II,R
Republic Fleet Ballistic Control System,L
Gotan's Modified Tracking Enhancer,L
Capital Remote Shield Booster I,H
Large Subordinate Screen Stabilizer I,M
Medium Signal Disruption Amplifier I,R
Corelum A-Type Energized EM Membrane,L
Bomb Launcher II,H
Small Remote Armor Repairer II,H
Explosive Deflection Field II,M
'Squire' Small Remote Capacitor Transmitter,H
Small F-4a Ld-Sulfate Capacitor Charge Unit,M
Capital Anti-Kinetic Screen Reinforcer I,R
Vizan's Modified Energized EM Membrane,L
Warp Disruptor II,M
Standup XL-Set Ship Manufacturing Efficiency II,R
Medium Core Defense Charge Economizer I,R
Large Particle Dispersion Projector I,R
Pith X-Type X-Large Shield Booster,M
Covert Jump Portal Generator I,H
Syndicate 100mm Steel Plates,L
Estamel's Modified EM Ward Field,M
Chelm's Modified Large EMP Smartbomb,H
Vepas' Modified 425mm Railgun,H
Conjunctive Radar ECCM Scanning Array I,M
Large Murky Compact Remote Shield Booster,H
Pneumatic Stabilization Actuator I,L
Small Core Defense Field Extender I,R
Capital IEF Compact Hull Repairer,M
Domination Explosive Deflection Field,M
Chelm's Modified Armor EM Hardener,L
Small Core Defense Operational Solidifier I,R
Micro 'Vehemence' Shockwave Charge,H
Capital Engine Thermal Shielding I,R
Medium Processor Overclocking Unit II,R
Medium Trimark Armor Pump I,R
CONCORD Armor Thermal Hardener,L
Heavy Missile Launcher II,H
Small Remote Hull Repairer I,H
Burst Jammer II,M
Modulated Compact Dual Giga Beam Laser,H
Large Core Defense Capacitor Safeguard I,R
Focused Modulated Medium Energy Beam I,H
Ladar ECM I,M
Medium 'Arup' Remote Armor Repairer,H
Dual 425mm Gallium Machine Gun,H
Heavy Modal Laser I,H
Mining Laser Range I,R
Dread Guristas 250mm Railgun,H
True Sansha Small Capacitor Booster,M
Domination Medium Cap Battery,M
'Longbow' Small Focused Pulse Laser I,H
'Hypnos' Signal Distortion Amplifier I,L
Damage Control II,L
Standup M-Set Invention Accelerator II,R
Raysere's Modified Armor EM Hardener,L
Medium Inverted Signal Field Projector II,R
Medium Gravity Capacitor Upgrade I,R
Information Warfare Link - Sensor Integrity I,H
Pithum C-Type Thermal Dissipation Amplifier,M
Vepas' Modified Rapid Heavy Missile Launcher,H
400mm Reinforced Nanofiber Plates I,L
Standup M-Set LNS Materials Reclamation I,R
Gas Cloud Harvester II,H
Small Targeting Systems Stabilizer II,R
Hermes Compact Fighter Support Unit,H
Small Sentry Damage Augmentor II,R
Vepas' Modified Ballistic Control System,L
Experimental Kinetic Plating I,L
Dark Blood Heavy Beam Laser,H
Standup L-Set Blueprint Copy Optimization I,R
Domination 280mm Howitzer Artillery,H
Corpus C-Type Armor Kinetic Hardener,L
Mining Laser Range II,R
Secure Magnetometric Backup Cluster I,L
Capital Tractor Beam I,H
Reinforced Bulkheads I,L
Gotan's Modified 100MN Afterburner,M
Standup L-Set TE Research Optimization I,R
Cormack's Modified Armor Thermal Hardener,L
Thon's Modified Multispectral ECM,M
Large Energy Metastasis Adjuster I,R
Imperial Navy Micro EMP Smartbomb,H
Small Infectious Scoped Energy Neutralizer,H
Unit W-634's Modified Drone Damage Amplifier,L
Medium Remote Armor Repairer I,H
Focused Anode Medium Particle Stream I,H
Draclira's Modified Kinetic Plating,L
Large 'Hope' Hull Reconstructor I,M
Standup L-Set Advanced Component Manufacturing Efficiency I,R
Prototype Armor Thermal Hardener I,L
Ammatar Navy Quad Beam Laser,H
Legion Propulsion - Interdiction Nullifier,S
QA Multiship Module - 40 Players,L
Large Sentry Damage Augmentor II,R
Pith B-Type EM Ward Field,M
Information Warfare Link - Recon Operation I,H
Setele's Modified Armor Kinetic Hardener,L
Quad Modal Light Laser I,H
ECCM - Gravimetric I,M
Partial Power Plant Manager: Shield Flux,L
Capital ACM Compact Armor Repairer,L
Coreli B-Type Kinetic Plating,L
Type-D Restrained Nanofiber Structure,L
Small Warp Core Optimizer II,R
50MN Cold-Gas Enduring Microwarpdrive,M
Domination Thermal Plating,L
Beta-Nought Tracking Mode,L
Shadow Serpentis Armor Explosive Hardener,L
280mm Carbine Howitzer I,H
Crisium Ice Harvester Upgrade,L
Ammatar Navy Kinetic Plating,L
Medium Degenerative Concussion Bomb I,H
Pitfall Compact Warp Disruption Field Generator,H
Standup M-Set Electronic Warfare Economy II,R
Gist B-Type 500MN Microwarpdrive,M
Gallente Mining Laser,H
Pithum B-Type Medium Shield Booster,M
Tobias' Modified Rapid Heavy Missile Launcher,H
Energized Explosive Membrane I,L
Dark Blood Armor Thermal Hardener,L
Energized Adaptive Nano Membrane I,L
Small Auxiliary Nano Pump II,R
50mm Reinforced Titanium Plates I,L
Federation Navy 100MN Afterburner,M
X-Large Capacitor Battery II,M
Small Transverse Bulkhead II,R
Standup M-Set Equipment Manufacturing Time Efficiency I,R
Faint Scoped Warp Disruptor,M
Passive Targeter II,M
Capital Ancillary Remote Armor Repairer,H
OLD Tengu Defensive - Amplification Node,S
Target Painter II,M
Tuvan's Modified Energized Thermal Membrane,L
'Mendicant' Signal Booster I,L
Limited Layered Plating I,L
'Snake Eyes' Explosive Deflection Field,M
Shadow Serpentis Warp Scrambler,M
Neutron Blaster Cannon I,H
Medium I-a Polarized Armor Regenerator,L
Vepas' Modified Shield Boost Amplifier,M
Pith C-Type Kinetic Deflection Field,M
Signal Distortion Amplifier I,L
Micro B88 Core Augmentation,L
Federation Navy 50MN Microwarpdrive,M
Ammatar Navy Heavy Beam Laser,H
Small 'Atonement' Remote Shield Booster,H
Small Liquid Cooled Electronics II,R
Gistum A-Type Adaptive Invulnerability Field,M
Dark Blood Tachyon Beam Laser,H
Small Electrochemical Capacitor Booster I,M
BZ-5 Scoped Gravimetric ECM,M
Erin Mining Laser Upgrade,L
Tairei's Modified Reactor Control Unit,L
Draclira's Modified Armor Thermal Hardener,L
Large Transverse Bulkhead II,R
Gist A-Type Kinetic Deflection Field,M
Selynne's Modified Power Diagnostic System,L
Dark Blood Small Armor Repairer,L
Chelm's Modified Tachyon Beam Laser,H
Gistii C-Type Small Remote Shield Booster,H
Marked Generator Refitting: Capacitor Power Relay,L
125mm Light Prototype Automatic Cannon,H
Centus C-Type Armor EM Hardener,L
Surplus Multi-Frequency Reserve Array,L
Corpii B-Type Small Energy Nosferatu,H
Projectile Consumption Elutriator I,R
Naiyon's Modified Magnetic Field Stabilizer,L
Federation Navy Ion Blaster Cannon,H
Shadow Serpentis 10000MN Afterburner,M
Gistum C-Type Explosive Deflection Amplifier,M
ML-3 Amphilotite Mining Probe,M
X-Large Neutron Saturation Injector I,M
Unit D-34343's Modified Omnidirectional Tracking Link,M
Gist A-Type Thermal Dissipation Field,M
Protected RADAR Backup Cluster I,L
Magnetometric Backup Array I,L
Passive Targeter I,M
'Bastion' 400mm Steel Plates,L
Standup M-Set ME Research Cost Optimization II,R
Partial Hull Conversion Inertial Stabilizers,L
'Gorget' Small Armor Repairer I,L
Small Stasis Drone Augmentor I,R
Corpii C-Type Small Energy Nosferatu,H
Extra Gravimetric ECCM Scanning Array I,M
Domination 1MN Afterburner,M
Capital Core Defense Capacitor Safeguard I,R
Capital Hybrid Locus Coordinator I,R
Ammatar Navy Dual Light Pulse Laser,H
Imperial Navy Dual Light Pulse Laser,H
Republic Fleet Rapid Light Missile Launcher,H
50mm Reinforced Rolled Tungsten Plates I,L
Draclira's Modified EM Plating,L
Medium F-4a Ld-Sulfate Capacitor Charge Unit,M
Small Engine Thermal Shielding II,R
Small Asymmetric Enduring Remote Shield Booster,H
Imperial Navy Dual Heavy Pulse Laser,H
Rapid Light Missile Launcher II,H
Large Partial E95c Remote Capacitor Transmitter,H
OLD Proteus Electronics - Emergent Locus Analyzer,S
Vepas' Modified Co-Processor,L
Dual 650mm 'Scout' Repeating Cannon I,H
Armor Command Burst II,H
